Título,Código,Preço com Desconto,Preço Sem Desconto,Promoção,Descrição,Marca
"SORO FISIOLÓGICO 0,9% 5ML 10 UNIDADES",cod. do produto: 58009,"R$ 7,83","R$ 8,50",8%,"O Adv solução fisiológica é indicado em nebulizações, lavagem de lentes de contato, lavagem de ferimentos e hidratação da pele. A Solução fisiológica de cloreto de sódio adv depois de aberto, deve ser conservado em local refrigerado, mas sua validade é de apenas 24 horas.",
DESODORANTE ANTITRANSPIRANTE AEROSOL DOVE MEN CUIDADO TOTAL,cod. do produto: 35800,"R$ 9,12","R$ 17,90",49%,"O desodorante aerosol dove men cuidados total combina fragrância amadeirada com proteção contra o suor. Deixa as axilas secas e seguras contra o mau odor. Fórmula dermatologicamente testada e sem álcool.
O desodorante aerosol dove men care clean comfort combina fragrância amadeirada com proteção por até 48 horas.",Unilever
SUPLEMENTO ALIMENTAR PROBIANS 30 CÁPSULAS,cod. do produto: 53822,"R$ 75,96","R$ 96,00",21%,Probians é um suplemento alimentar de Lactobacillus em cápsulas.,
SUPLEMENTO ALIMENTAR EM PÓ TRIFOR 30 SACHÊS,cod. do produto: 53617,"R$ 169,90","R$ 237,40",28%,"Trifor é um suplemento alimentar em pó de colágeno hidrolisado, colágeno Tipo II e ácido hialurônico, com sabor Tangerina.",
K-MED GEL LUBRIFICANTE ÍNTIMO 50G,cod. do produto: 43268,"R$ 6,30","R$ 10,00",37%,"K-MED GEL LUBRIFICANTE ÍNTIMO 50G em promoção parcelado sem juros é no Drogão Super!
Gel para lubrificação íntima, de base aquosa que se assemelha á lubrificação natural.
Proporciona mais conforto e segurança, sem perder a sensibilidade.
Solúvel a água, transparente, não gorduroso, não tem cheiro, é facilmente removível e não mancha.
Uso adulto.",
Desodorante Masculino Rexona Clinical Aerosol 150ml,cod. do produto: 51316,"R$ 11,12","R$ 15,90",30%,"O Desodorante Masculino Rexona Clinical Aerosol 150ml proporciona 3X mais proteção que um antitranspirante comum. Com a inovadora fórmula termo-ativa e exclusiva tecnologia Defense+, se adapta ao organismo, ajudando a prevenir a transpiração e o mau odor.",Unilever
CARGA GILLETTE MACH3 SENSITIVE 2 UNIDADES,cod. do produto: 37664,"R$ 26,91","R$ 32,10",16%,"A gilete mach 3 sensitive é indicada para peles mais sensíveis. Ela conta com sistema de 3 lâminas independentes que acompanham o formato e os contornos do rosto, além de possuir cabo ergonômico que dá mais firmeza nas mãos na hora do uso e fita lubrificante melhorada, com toque de aloés que proporcionam um barbear com menos irritação da pele.",P&G
SABONETE PROTEX LIMPEZA PROFUNDA-ORIGINAL LEVE 6PAGUE5,cod. do produto: 51892,"R$ 17,65","R$ 21,00",16%,"Ajuda a eliminar as bactérias e remover os poros, as impurezas, e oleosidade que podem causar cravos e espinha. Contém extratos de algas marinhas, conhecido pelos seus benefícios de limpeza profunda e remoção de impurezas. Elimina 99% das bactérias da sua pele;",Colgate-Palmolive
CREME DENTAL SENSODYNE REPAIR E PROTECT 100G,cod. do produto: 39783,"R$ 18,79","R$ 21,60",13%,"O creme dental repair & protect, da sensodyne, conta com a exclusiva tecnologia novamin que tem alta concentração de cálcio e elementos naturais de formação dos dentes.
O produto é ativado ao entrar em contato com a saliva, auxiliando na reparação de áreas mais frágeis nos dentes.
O creme dental repair & protect, da sensodyne, forma uma camada protetora, que se renova a cada escovação, protegendo do desconforto causado pela sensibilidade.",
HASTES FLEXÍVEIS APOLO 150 UNIDADES,cod. do produto: 44235,"R$ 4,31","R$ 5,00",14%,"HASTES FLEXÍVEIS APOLO 150 UNIDADES  em condições especiais é no Drogão Super!
São produzidas com hastes de polipropileno flexíveis e fibras de puro algodão hidrófilo que passam por rigorosa seleção e recebem tratamento especial com bactericidas que as mantém livre de contaminações.
Com 75 unidades.",Apolo
CREME DENTAL COLGATE MÁXIMA PROTEÇÃO ANTICÁRIES 90G,cod. do produto: 3925,"R$ 4,00","R$ 4,80",17%,"CREME DENTAL COLGATE MÁXIMA PROTEÇÃO ANTICÁRIES 90G em condições especiais é no Drogão Super!
Creme",Colgate-Palmolive
ÁGUA OXIGENADA CREMOSA ADV 40 VOLUMES 100ML,cod. do produto: 57992,"R$ 3,41","R$ 4,10",17%,"ÁGUA OXIGENADA CREMOSA ADV 40 VOLUMES 100ML em condições especiais é no Drogão Super!
Água oxigenada cremosa adv foi desenvolvida especialmente pela tayuyna para descoloração dos fios capilares e também ajuda na oxidação nos processos de coloração.",
ABSORVENTE GERIÁTRICO MAXI BIOFRAL TAMANHO ÚNICO 20 UNIDADES,cod. do produto: 41750,"R$ 21,62","R$ 26,80",19%,"Biofral Maxi Geriatric é um absorvente descartável, indicado para mulheres e homens com incontinência urinária leve.  Também utilizado no período pós operatório de cirurgias genito-urinárias e no pós parto.",Essity
ESCOVA DENTAL ORAL-B123 MACIA,cod. do produto: 42137,"R$ 4,94","R$ 5,90",16%,"Foi desenvolvida com cerdas onduladas em forma de z que limpam adequadamente entre os dentes, enquanto as pontas arredondadas são gentis com a gengiva, proporcionando uma limpeza completa e profunda, deixando os dentes e boca saudáveis.",P&G
SABONETE PHEBO ODOR DE ROSAS 90G,cod. do produto: 3984,"R$ 4,22","R$ 5,00",16%,"O sabonete phebo odor de rosas possui base 100% vegetal.
Sua fórmula suave forma uma espuma intensa e cremosa que hidrata e dá mais maciez para a pele.
A base vegetal também permite que a fragrância fixe melhor na no corpo, deixando-o perfumado por muito mais tempo.
O Sabonete de glicerina phebo odor de rosas é recomendado para todos os tipos de pele e uso diário.",
SABONETE LÍQUIDO REFIL LUX BOTANICALS ORQUÍDEA NEGRA COM 200ML,cod. do produto: 50886,"R$ 4,84","R$ 5,80",17%,"Sabonete Líquido Lux Botanicals Orquídea Negra Refil apresenta espuma cremosa e delicada fragrância, proporcionando à pele um toque macio e aveludado.",Unilever
SUPLEMENTO NUTRICIONAL ENSURE BAUNILHA COM 850G,cod. do produto: 54462,"R$ 151,13","R$ 190,08",20%,Ensure é um suplemento nutricional completo e balanceado recomendado para pessoas que buscam força e resistência.,
KIT SABONETE NIVEA CREME CARE LEVE 6 PAGUE 5,cod. do produto: 48883,"R$ 17,79","R$ 23,90",26%,Sabonete Nivea Creme Care proporciona uma experiência única de carinho e cuidado durante o banho. Dermatologicamente testado. Compatível com todos os tipos de pele.,
SABONETE NIVEA LEITE COM 6 UNIDADES DE 85G LEVE+ PAGUE-,cod. do produto: 52537,"R$ 14,55","R$ 17,40",16%,"Sabonete com hidratante e proteínas do leite que limpa e cuida gentilmente da sua pele, para uma sensação de pele macia e hidratada. Possui suave fragrância de leite que deixa a pele delicadamente perfumada após o banho.",
ESCOVA DENTAL CURAPROX ULTRA SOFT MACIA CS 5460 B CORES SORTIDAS,cod. do produto: 41424,"R$ 35,41","R$ 42,30",16%,"ESCOVA DENTAL CUAPROX ULTRA SOFT EM PROMOÇÃO É NA FARMÁCIA ONLINE DROGÃO SUPER!

A Escova Dental Curaprox Adulto Ultra Soft, foi especialmente desenvolvida para proporcionar uma higiene bucal completa e atraumática e por causa da extrema suavidade e poder de limpeza, as gengivas amam essas escovas.
A Escova Dental Curaprox Adulto Ultra Soft, da Curaprox, conta com 5460 filamentos Ultrasoft, que possui ação seletiva sobre a placa bacteriana sem agredir a gengiva. Suas cerdas são compostas por Curen, que mesmo molhados mantém a sua superior firmeza original. Isso possibilita escovação profunda com mais maciez.

A Curaprox 5460 ultra macia é recomendada por dentistas do mundo inteiro. São 5.460 cerdas de CUREN® com 0.10mm de diâmetro.

- Suaves e não traumáticas: graças às cerdas CUREN®
- Eficácia total na limpeza por causa da grande quantidade de cerdas
- A cabeça compacta, ligeiramente inclinada, e o cabo oitavado ajudam a escovar no ângulo correto, garantindo uma melhor limpeza",Curaprox
DESODORANTE AEROSOL REXONA ANTIBACTERIAL MEN 90G,cod. do produto: 44661,"R$ 10,20","R$ 15,90",36%,"DESODORANTE REXONA AEROSOL ANTIBACTERIAL MEN 90G em condições especiais é no Drogão Super!
O desodorante rexona antibacterial men é um antitranspirante que deixa as axilas secas e ainda possui benefícios extras, além de sua eficácia, como ação prolongada por 48 horas e segurança o dia todo.
O desodorante rexona antibacterial men proporciona proteção seca e ainda auxilia na eliminação de 99,9% das bactérias que causam o mau odor.",Unilever
ENXAGUANTE BUCAL ANTISSÉPTICO COLGATE PERIOGARD SEM ÁLCOOL 250ML,cod. do produto: 34230,"R$ 34,58","R$ 39,10",12%,"EXAGUANTE ANTISSÉPTICO BUCAL COLGATE PERIOGARD SEM ÁLCOOL 250ML em condições especiais é no Drogão Super!
O enxaguante bucal colgate periogard sem álcool auxilia na redução da placa bacteriana e do mau hálito.
Ação antibacteriana comprovada que garante 48% menos sangramento e até 54% menos placa bacteriana.
O enxaguante bucal colgate periogard sem álcool possui ação comprovada na eliminação dos germes que causam a gengivite e a progressão de doenças periodontais.",Colgate-Palmolive
KIT ESCOVA DENTAL CURAPROX ULTRA SOFT 3 UNIDADES CORES SORTIDAS,cod. do produto: 47120,"R$ 95,59","R$ 114,20",16%,"O Kit Escova Dental Curaprox 5460 Ultra Soft Leve 3 Pague 2 Unidades compõe a linha de escovas dental mais completa. Conheça cada uma das escovas desta marca e desfrute dos benefícios que só Curaprox pode oferecer. Suas cerdas removem efetivamente placa bacteriana de difícil acesso entre os dentes. Curaprox é uma das marcas mais recomendada pelos dentistas. Suas tecnologias garantem boca e dentes mais saudáveis, e um hálito suavemente refrescante.",Curaprox
FIBER MAIS LATA 260G,cod. do produto: 37654,"R$ 117,88","R$ 131,50",10%,"Fibermais é um suplemento alimentar de fibra solúvel indicado para aumentar a ingestão rotineira de fibras dietéticas.
É o resultado da hidrólise parcial da goma guar e da adição de inulina.
Facilmente adicionado a uma grande variedade de alimentos e bebidas e não altera a textura, aroma e sabor dos produtos aos quais é adicionado.
Possui 60% goma guar e 40% inulina, essa combinação garante uma excelente performance como regulador intestinal e confere um maior efeito prebiótico.",
CREME DENTAL COLGATE TOTAL 12 ADVANCED FRESH,cod. do produto: 28930,"R$ 9,08","R$ 10,90",17%,"CREME DENTAL COLGATE TOTAL 12 ADVANCED FRESH em condições especiais é no Drogão Super!
O creme dental colgate total 12 advanced fresh, possui formula exclusiva com triclosan e copolímero que proporciona dupla proteção: antibacteriana e previne contra a inflamação da gengiva.
Um creme dental completo que ajuda a fortalecer o esmalte dental; previne contra a cárie, formação de placa, tártaro e gengivite; e combate o mau hálito.
O Creme dental colgate total 12 advanced fresh, ajuda a melhorar sua saúde bucal oferecendo até 12 horas de proteção antibacteriana e hálito fresco.",Colgate-Palmolive
DESODORANTE ANTITRANSPIRANTE AEROSOL DOVE INVISIBLE DRY 100G,cod. do produto: 32103,"R$ 12,84","R$ 17,90",28%,"Testes comprovam que o desodorante aerossol dove invisible dry é invisível não só no preto e no branco, como também em 100 cores de roupas.
Garante conforto e proteção para você e sua roupa.
O desodorante aerossol dove invisible dry foi desenvolvido especialmente para proporcionar 24 horas de proteção sem irritar a pele ou manchar suas roupas.",Unilever
SUPLEMENTO ALIMENTAR PEDIASURE CHOCOLATE COM 850G,cod. do produto: 54694,"R$ 124,74","R$ 139,55",11%,Pediasure é um suplemento nutricional infantil que fornece os nutrientes que a criança precisa.,
SABONETE EM BARRA PERFUMADO BIOCREMA 90G LEITE,cod. do produto: 52845,"R$ 2,93","R$ 3,50",16%,*,MEMPHIS
MASCARA RESPIRATORIA N95 BRANCA 1UNIDADE,cod. do produto: 1011752,"R$ 5,10","R$ 6,30",19%,MASCARA RESPIRATORIA N95 BRANCA 1UNIDADE,Medi Company
"PROTETOR LABIAL NIVEA LIP CARE FRUIT 4,8G",cod. do produto: 32449,"R$ 15,51","R$ 20,80",25%,"PROTETOR LABIAL NIVEA LIP CARE FRUIT 4,8G em condições especiais é no Drogão Super!
A linha fruit e shine da nivea contém óleo de amêndoas, de jojoba e manteiga de karité.
O protetor labial fruit e shine protege e hidrata os lábios, deixando-os com um toque avermelhado.
O Protetor labial fruit e shine da nivea possui fórmula rica em extrato de frutas e pigmentos brilhantes.
Além disso, ele possui fps 15.",
DESODORANTE AEROSOL REXONA MEN INVISIBLE 90G,cod. do produto: 33557,"R$ 10,20","R$ 15,90",36%,"O desodorante aerossol rexona men invisible, conta com microcápsulas inteligentes motionsense, que forma uma camada protetora na axila e ao longo do dia com o atrito na região aplicada as cápsulas se rompem proporcionando maior proteção.
O Desodorante aerossol rexona men invisible oferece proteção contra o suor, sem deixar resíduos nas roupas.
Garante conforto e proteção seca por até 48 horas.
Quanto mais você se movimenta, mais ele te protege.",Unilever
DESODORANTE AEROSOL REXONA MEN V8 90G,cod. do produto: 30461,"R$ 10,20","R$ 15,90",36%,"O desodorante aerosol rexona men v8, conta com microcápsulas inteligentes motionsense, que forma uma camada protetora na axila e ao longo do dia com o atrito na região aplicada as cápsulas se rompem proporcionando maior proteção.
Quanto mais você se movimenta, mais ele te protege.
O Desodorante aerosol rexona men v8 possui fragrância amadeirada e notas verdes, ideal para quem curte alta velocidade.
Garante conforto e proteção seca por até 48 horas.",Unilever
FITA DENTAL JOHNSON & JOHNSON EXPANSION  50M,cod. do produto: 4498,"R$ 12,35","R$ 14,90",17%,"FITA DENTAL JOHNSON & JOHNSON EXPANSION 50M em condições especiais é no Drogão Super!
Reach® expansion plus possui tecnologia expansion plus™, que promove a expansão da fita ao entrar em contato com a superfície do dentes removendo até 40%* a mais da placa bacteriana.
A fita dental é mais flexível e proporciona maciez na gengiva.
Possui agradável sabor de menta.",
FINI BALA BEIJO MORANGO 100G,cod. do produto: 52054,"R$ 5,65","R$ 7,30",23%,*,Fini
SUPLEMENTO ALIMENTAR PEDIASURE BAUNILHA COM 850G,cod. do produto: 54695,"R$ 124,74","R$ 139,55",11%,Pediasure é um suplemento nutricional infantil que fornece os nutrientes que a criança precisa.,
CREME DENTAL COLGATE LUMINOUS WHITE CARVÃO ATIVADO,cod. do produto: 52860,"R$ 6,88","R$ 8,20",16%,Creme dental anticáries com flúor Colgate Luminous White com carvão ativado para um sorriso mais deslumbrante.,Colgate-Palmolive
CARGA GILLETTE MACH3 2 UNIDADES,cod. do produto: 4502,"R$ 23,35","R$ 27,80",16%,"Carga para Aparelho de Barbear Gillette Mach3 Turbo combina várias tecnologias patenteadas para criar um sistema de barbear rente e confortável. Possui 3 lâminas corte-diamante, alinhadas paralelamente e montadas sobre molas independentes em uma base móvel, proporcionando um barbear mais confortável inclusive no sentido contrário do crescimento da barba. Um cartucho de estrutura aberta com 10 microtensores complementam a tecnologia de Mach3 Turbo. A fita lubrificante indicator contém ingredientes extras para um maior cuidado da sua pele. Conforto e um melhor deslizamento das lâminas para um barbear mais rente.",P&G
SHAMPOO CLEAR MEN LIMPEZA DIÁRIA 2 EM 1 ANTICASPA 200ML,cod. do produto: 39511,"R$ 11,72","R$ 15,90",26%,"SHAMPOO CLEAR MEN LIMPEZA DIÁRIA 2 EM 1 ANTICASPA 200ML em condições especiais é no Drogão Super!
O shampoo anticaspa clear men limpeza diária 2 em 1 foi criado especialmente para os homens.
Clear desenvolveu uma tecnologia inovadora que ajuda a ativar a camada de proteção natural do couro cabeludo, evitando que as caspas voltem, sem escamas visíveis com o uso regular.
modo de usar:
aplique no cabelo molhado massageie o couro cabeludo e enxágue.
Para obter melhores resultados, use diariamente.
o shampoo anticaspa clear men limpeza diária 2 em 1 entrega limpeza e cuidado para um couro cabeludo saudável e um cabelo macio.
sua fórmula contém bio nutrium 10, uma rica mistura de ingredientes nutritivos e extrato botânicos, que ativa a camada de proteção natural do couro cabeludo, deixando você livre das caspas.",Unilever
LUBRIFICANTE ÍNTIMO K-MED ORIGINAL 100G,cod. do produto: 1002821,"R$ 10,43","R$ 16,70",38%,"Gel Lubrificante K-Med também é indicado para lubrificação em casos de secura vaginal decorrente dos estados de menopausa. Contraindicações de K Med: Hipersensibilidade aos componentes da fórmula. Aplicar K Med diretamente no órgão genital masculino ou preservativo e na superfície da região vaginal, em quantidade suficiente para o conforto do ato.",
DESODORANTE ROLL ON REXONA SEM PERFUME 50ML,cod. do produto: 4098,"R$ 8,19","R$ 9,99",18%,"DESODORANTE ROLL ON REXONA SEM PERFUME 50ML em condições especiais é no Drogão Super!
Rexona sem perfume é um produto destinado a consumidoras que desejam um produto puro mas não abrem mão da proteção de rexona.
A sua fórmula foi desenvolvida com a mesma quantidade de ativo que os outros antitranspirantes de rexona, o que garante ao produto a mesma eficácia das outras variantes da marca.
Hipoalergênico, indicado para as consumidoras que sofrem com alergias e irritações na pele das axilas.",Unilever
ESPONJA DE BANHO RICCA GRANDE 300,cod. do produto: 46552,"R$ 10,85","R$ 13,00",17%,"Esponja de polietileno. Massageia o corpo e proporciona maior rendimento do sabonete líquido. Ativa a circulação e remove as células mortas, deixando a pele mais macia.",Ricca
ÁLCOOL EM GEL GIOVANNA BABY ROSA PUMP 500ML,cod. do produto: 1011762,"R$ 19,18","R$ 22,90",16%,"É ideal para higienizar as mãos, sua fórmula conta com esferas hidratantes e exclusivo perfume.",Giovanna Baby
ÁGUA BORICADA ADV 3% 100ML,cod. do produto: 57986,"R$ 3,69","R$ 4,20",12%,"ÁGUA BORICADA ADV 3% 100ML em condições especiais é no Drogão Super!
Antisséptico, bactericida e fungicida.",
SABONETE PHEBO ALFAZEMA BASE VEGETAL MANTEIGA DE MURUMURU 100G,cod. do produto: 50204,"R$ 4,67","R$ 5,60",17%,"Sabonete em Barra Alfazema Provençal Phebo é um sabonete cremoso com base vegetal enriquecido com manteiga de Murumuru, que hidrata e nutre a pele.",
DESODORANTE ANTITRANSPIRANTE AEROSOL REXONA CLINICAL SEM PERFUME,cod. do produto: 52410,"R$ 11,12","R$ 15,90",30%,"Rexona Clinical possui a inovadora fórmula termo-ativa e conta com a exclusiva tecnologia TRIsolid, que se adapta ao organismo, ajudando a prevenir a transpiração e o mau odor para pessoas que precisam de máxima proteção.",Unilever
DESODORANTE ROLL ON REXONA MEN V8 50ML,cod. do produto: 30465,"R$ 8,19","R$ 9,99",18%,"DESODORANTE ROLL ON REXONA MEN V8 50ML em condições especiais é no Drogão Super!
Indicado para homens apaixonados por velocidade, combina notas fougère, verdes e amadeiradas.
Com rexona men v8, você acelera sem transpirar.
Proteção por até 48h.",Unilever
ÁGUA OXIGENADA CREMOSA ADV 30 VOLUMES 100ML,cod. do produto: 57991,"R$ 3,41","R$ 4,10",17%,"ÁGUA OXIGENADA CREMOSA ADV 30 VOLUMES 100ML em condições especiais é no Drogão Super!
Água oxigenada cremosa adv foi desenvolvida especialmente pela tayuyna para descoloração dos fios capilares e também ajuda na oxidação nos processos de coloração.",
SABONETE PHEBO LIMÃO SISCILIANO 100G,cod. do produto: 50203,"R$ 4,67","R$ 5,60",17%,"Sabonete cremoso inspirado nas colinas da Sicília. Sua fragrância cítrica transmite o frescor das tardes no Mediterrâneo. A presença de manteiga de murumuru em sua fórmula, nutre e hidrata a pele.Sem corante/100% vegetal.",
LAVITAN MACA PERUANA VIRON 60 CÁPSULAS,cod. do produto: 1013479,"R$ 25,85","R$ 36,20",29%,"Lavitan Maca Peruana Viron é um suplemento alimentar com base em Maca Peruana, Guaraná, Açaí, Vitaminas do Complexo B, Vitaminas C, E, Zinco e Magnésio. Para uma vida mais ativa.",Lavitan
TALCO TENYS PÉ BARUEL PÓ CANFORADO 100G,cod. do produto: 4290,"R$ 11,09","R$ 13,20",16%,"Talco Tenys Pé Baruel Pó Canforado é antiséptico e desodorante, mantém os pés frescos e elimina odores da transpiração.Talco Tenys Pé Baruel Pó CanforadoTenys Pé Baruel foi criado para manter todos os tipos de pés secos, frescos e perfumados o dia todo. Do executivo ao atleta, cada um no seu movimento, mas com muita proteção. Foi especialmente desenvolvido para eliminar os odores, normalizando a transpiração dos pés. Sua fórmula exclusiva contém elementos que agem eficazmente, através de sua ação desodorante, refrescante e antisséptica, proporcionando uma agradável sensação.",Baruel
SUPLEMENTO NUTRICIONAL ENSURE BAUNILHA 400G,cod. do produto: 38281,"R$ 95,90","R$ 96,74",1%,"Suplemento Nutricional Ensure em Pó Abbott Sabor Baunilha 400g pode ser utilizado para a manutenção e recuperação da saúde, pois contém calorias e nutrientes necessários para a alimentação balanceada.
Suplemento Nutricional Ensure Pó, quando misturado a água, se transforma numa bebida capaz de fornecer uma nutrição completa e balanceada capaz de substituir uma refeição ou simplesmente servir como um suplemento alimentar.
A formulação em pó é prática e pode ser incorporada a diversas preparações, de forma que as necessidades nutricionais diárias possam ser atendidas.
SUPLEMENTO NUTRICIONAL ENSURE BAUNILHA 400G em promoção parcelado sem juros é no Drogão Super!",
PRESERVATIVOS LUBRIFICADOS OLLA LEVE 8 PAGUE 6,cod. do produto: 24073,"R$ 9,99","R$ 12,30",19%,PRESERVATIVOS LUBRIFICADOS OLLA LEVE 8 PAGUE 6 em condições especiais é no Drogão Super!,
SUPLEMENTO ALIMENTAR NESTLÉ NUTREN SENIOR SABOR CAFÉ COM LEITE 740G,cod. do produto: 53681,"R$ 149,64","R$ 179,50",17%,Nutren Senior sabor Café com Leite é um suplemento nutricional para pessoas acima dos 50 anos aproveitarem a melhor fase da vida com saúde e disposição. ALÉRGICOS: CONTÉM DERIVADOS DE LEITE E SOJA. NÃO CONTÉM GLÚTEN.,
DESODORANTE AEROSOL ANTITRANSPIRANTE REXONA CLINICAL CLASSIC FEMININO COM 55ML,cod. do produto: 54858,"R$ 4,99","R$ 6,50",23%,O Rexona Clinical Classic protege três vezes mais que um antitranspirante comum.,Rexona
APARELHO DE BARBEAR GILLETTE PRESTOBARBA 3 MASCULINO 2 UNIDADES,cod. do produto: 31635,"R$ 16,23","R$ 19,40",16%,"APARELHO DE BARBEAR GILLETTE PRESTOBARBA 3 MASCULINO 2 UNIDADES em condições especiais é no Drogão Super!
O barbeador descartável prestobarba3 possui 3 lâminas independentes que liberam mais lubrificantes, proporcionando um barbear mais seguro, com menos cortes.
A cabeça autoajustável foi desenvolvida para acompanhar todos os contornos do rosto, garantindo menos irritação e mais maciez.
O Barbeador descartável prestobarba3 em embalagem econômica garante o melhor barbear, pois você terá lâminas novas sempre à mão.",P&G
SABONETE PROTEX AVEIA 85 GR L6P5,cod. do produto: 51891,"R$ 17,65","R$ 21,00",16%,"O Sabonete em Barra Protex Aveia 85gelimina 99,9% das bactérias e possui uma fórmula com ph balanceado para limpar e remover as impurezas da pele de maneira eficiente e apropriada. Além de deixar sua pele saudável e protegida prevenindo a proliferação de bactérias, Protex oferece os benefícios naturais da aveia, ingrediente natural que garante a remoção de resíduos que se acumulam nos poros, esfoliando, hidratando e nutrindo a pele.",Colgate-Palmolive
CREME DENTAL SENSODYNE RÁPIDO ALÍVIO COM FLÚOR 90G,cod. do produto: 47087,"R$ 15,49","R$ 17,70",12%,"Sensodyne® Rápido Alívio é um creme dental de uso diário que promove o alívio rápido* e duradouro** da sensibilidade nos dentes. Para um alívio rápido*, massageie a base do dente sensível com uma pequena quantidade do creme dental por 60 segundos. Para um alívio duradouro**, escove os dentes com Sensodyne® Rápido Alívio, pelo menos, duas vezes ao dia.",
